#,Name,Description
1,Bulbasaur,"FOR SOME TIME AFTER ITS BIRTH IT GROWS BY GAINING NOURISHMENT FROM THE SEED ON ITS BACK"
2,Ivysaur,"WHEN THE BUD ON ITS BACK STARTS SWELLING A SWEET AROMA WAFTS TO INDICATE THE FLOWER'S COMING BLOOM."
3,Venusaur,"AFTER A RAINY DAY, THE FLOWER ON ITS BACK SMELLS STRONGER. THE SCENT ATTRACTS OTHER POKÉMON."
4,Charmander,"FROM THE TIME IS BORN A FLAME BURNS AT THE TIP OF ITS TAIL. ITS LIFE WOULD END IF THE FLAME WERE TO GO OUT."
5,Charmeleon,"WHEN IT SWINGS ITS BURNING TAIL IT ELEVATES THE AIR TEMPERATURE TO UNBEARABLY HIGH LEVELS."
6,Charizard,"ITS WINGS CAN CARRY THIS POKEMON CLOSE TO AN ALTITUDE OF 4600 FEET. IT BLOWS OUT FIRE AT VERY HIGH TEMPERATURES."
7,Squirtle,SHOOTS WATER AT PREY WHILE IN THE WATER. WITHDRAWS INTO ITS SHELL WHEN IN DANGER.
8,Wartortle,"IT IS SAID TO LIVE 10000 YEARS. ITS FURRY TAIL IS POPULAR AS A SYMBOL OF LONGEVITY."
9,Blastoise,THE PRESSURIZED WATER JETS ON THIS BRUTAL POKÉMON'S SHELL ARE USED FOR HIGH-SPEED TACKLES.
10,Caterpie,ITS FEET HAVE SUCTION CUPS DESIGNED TO STICK TO ANY SURFACE. IT TENACIOUSLY CLIMBS TREES TO FORAGE.
11,Metapod,"THIS POKÉMON IS VULNERABLE TO ATTACK WHILE ITS SHELL IS SOFT EXPOSING ITS WEAK AND TENDER BODY."
12,Butterfree,"THE WINGS ARE PROTECTED BY RAIN-REPELLENT DUST. AS A RESULT THIS POKÉMON CAN FLY ABOUT EVEN IN RAIN."
13,Weedle,ITS POISON STINGER IS VERY POWERFUL. ITS BRIGHT-COLORED BODY IS INTENDED TO WARN OFF ITS ENEMIES.
14,Kakuna,"WHILE AWAITING EVOLUTION IT HIDES FROM PREDATORS UNDER LEAVES AND IN NOOKS OF BRANCHES."
15,Beedrill,"MAY APPEAR IN A SWARM. FLIES AT VIOLENT SPEEDS ALL THE WHILE STABBING WITH THE TOXIC STINGER ON ITS REAR."
